Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Bodohood Fitness Centre,Gym,"PXPP+CVJ, Niz Harisinga, Assam 784510, India",https://www.google.co.kr/maps/place/Bodohood+Fitness+Centre/data=!4m5!3m4!1s0x375b0d7ff4695f69:0x4bfb5f4cbacebac5!8m2!3d26.7360892!4d91.9871394?authuser=0&hl=en&rclk=1,26.7360892,91.9871394,Arunachal Pradesh,East
SK Fitness centre,Gym,"1, Udalguri-Tamulpur Rd, Dimakuchigaon, Assam 784526, India",https://www.google.co.kr/maps/place/SK+Fitness+centre/data=!4m5!3m4!1s0x375b0bb4a1bc8f57:0x2c404215a09416aa!8m2!3d26.7474146!4d91.8385014?authuser=0&hl=en&rclk=1,26.7474146,91.8385014,Arunachal Pradesh,East
JDB'S FUNCTIONAL GYM,Gym,"Pub Jangalpara Path, Milanpur, Tangla, Assam 784525, India",https://www.google.co.kr/maps/place/JDB'S+FUNCTIONAL+GYM/data=!4m5!3m4!1s0x375b0fffa87b131d:0x3508410e1594ae55!8m2!3d26.6537904!4d91.9191192?authuser=0&hl=en&rclk=1,26.6537904,91.9191192,Arunachal Pradesh,East
Més Que Football Arena,Sports complex,"Rooftop O.T. Building, Niti Vihar, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/M%C3%A9s+Que+Football+Arena/data=!4m5!3m4!1s0x374407cdebaeea25:0xc7f02f0615f6ab8!8m2!3d27.1003294!4d93.6171356?authuser=0&hl=en&rclk=1,27.1003294,93.6171356,Arunachal Pradesh,East
National Institute of Mountaineering and Allied Sports (NIMAS),Adventure sports,"c/o 99 APO, Dirang Village, Arunachal Pradesh 790101",https://www.google.co.kr/maps/place/National+Institute+of+Mountaineering+and+Allied+Sports+(NIMAS)/data=!4m5!3m4!1s0x375cbb4706bbdb73:0x9a0a79657e05c2!8m2!3d27.3703197!4d92.2306927?authuser=0&hl=en&rclk=1,27.3703197,92.2306927,Arunachal Pradesh,East
"Shristi Yoga Institute, Udalguri",Yoga studio,"near Hanuman mill, Udalguri, Assam 784509, India","https://www.google.co.kr/maps/place/Shristi+Yoga+Institute,+Udalguri/data=!4m5!3m4!1s0x375b158457f6d139:0x5de0803e333ddcc4!8m2!3d26.7436208!4d92.0982883?authuser=0&hl=en&rclk=1",26.7436208,92.0982883,Arunachal Pradesh,East
NIMAS Adventure Base Camp,Adventure sports center,"27°22'13. 92°13'50 8, Puerto Rico 2, Ponce, Arunachal Pradesh 00716",https://www.google.co.kr/maps/place/NIMAS+Adventure+Base+Camp/data=!4m5!3m4!1s0x375cbb6701fcb66f:0x20d90ad1ee9ba96a!8m2!3d27.370331!4d92.230776?authuser=0&hl=en&rclk=1,27.370331,92.230776,Arunachal Pradesh,East
FIT INDIA GYM,Gym,"Bhaskar Nagar, Gopinath Nagar, Binowa Nagar, Kala Pahar, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/FIT+INDIA+GYM/data=!4m5!3m4!1s0x375a5bc40c669d69:0xe60a8603fb4f178c!8m2!3d26.1493082!4d91.7407453?authuser=0&hl=en&rclk=1,26.1493082,91.7407453,Assam,East
Gym Point - Guwahati,Gym,"2nd floor, Baliram sarala Niwas, Gotanagar, Guwahati, Assam 781033, India",https://www.google.co.kr/maps/place/Gym+Point+-+Guwahati/data=!4m5!3m4!1s0x375a5b4d0998bf7b:0x5b502d7b65c2f5c7!8m2!3d26.1399609!4d91.6783806?authuser=0&hl=en&rclk=1,26.1399609,91.6783806,Assam,East
Fitness World (Ladies Only),Gym,"near Bharath Seva Ashram, Kala Pahad, Bishnu Rava Path, Fatasil Ambari, Guwahati, Assam 781018, India",https://www.google.co.kr/maps/place/Fitness+World+(Ladies+Only)/data=!4m5!3m4!1s0x375a5bc0ca770fe3:0xa9f0bc1915416279!8m2!3d26.1548403!4d91.7356437?authuser=0&hl=en&rclk=1,26.1548403,91.7356437,Assam,East
Studio Fitness,Gym,"5Q3M+VFJ, Manik Nagar, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Studio+Fitness/data=!4m5!3m4!1s0x375a591a03188141:0x3e42f42bbc9affc8!8m2!3d26.1547142!4d91.7836291?authuser=0&hl=en&rclk=1,26.1547142,91.7836291,Assam,East
stayfit fitness studio,Fitness center,"Das complex, Lokhra Rd, Lal Ganesh, Guwahati, Assam 781034, India",https://www.google.co.kr/maps/place/stayfit+fitness+studio/data=!4m5!3m4!1s0x375a5d7423f7e929:0x5d91682ba27f539b!8m2!3d26.1412941!4d91.7419971?authuser=0&hl=en&rclk=1,26.1412941,91.7419971,Assam,East
