Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Urban Primary Health Center,Hospital,"RPCM+5QR, Sihphir, Mizoram 796036, India",https://www.google.co.kr/maps/place/Urban+Primary+Health+Center/data=!4m5!3m4!1s0x374debcdc760ce4d:0xd0dc28143ef59cd5!8m2!3d23.8204993!4d92.7343935?authuser=0&hl=en&rclk=1,23.8204993,92.7343935,Mizoram,East
Lunglei,Hospital,"VPMX+57G, Chanmari, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Lunglei/data=!4m5!3m4!1s0x374d41dc750dc723:0x5646c75a5ac79741!8m2!3d22.882932!4d92.7481983?authuser=0&hl=en&rclk=1,22.882932,92.7481983,Mizoram,East
Maraland Gospel Centenary Hospital,Medical Center,"opposite to Post Office, New Colony 2, Siaha, Mizoram 796901, India",https://www.google.co.kr/maps/place/Maraland+Gospel+Centenary+Hospital/data=!4m5!3m4!1s0x30b2d178e4ae8a8b:0x3fcd57cfd9f6211c!8m2!3d22.4889276!4d92.979637?authuser=0&hl=en&rclk=1,22.4889276,92.979637,Mizoram,East
Urban Public Health Centre,Hospital,"VQ2V+QP8, Hrangchalkawn, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Urban+Public+Health+Centre/data=!4m5!3m4!1s0x374d39fbdf206e15:0x98bf9da7dcfa0782!8m2!3d22.8519005!4d92.7943435?authuser=0&hl=en&rclk=1,22.8519005,92.7943435,Mizoram,East
"Trauma Center, Serchhip",Hospital,"8V54+47Q, Serchhip, Mizoram 796181, India","https://www.google.co.kr/maps/place/Trauma+Center,+Serchhip/data=!4m5!3m4!1s0x374d0b40799f7263:0xfca796229fdf22c8!8m2!3d23.3078461!4d92.8557433?authuser=0&hl=en&rclk=1",23.3078461,92.8557433,Mizoram,East
Integrated Ayush Hospital,Hospital,"7QCF+8VF, Thenzawl, Mizoram 796186, India",https://www.google.co.kr/maps/place/Integrated+Ayush+Hospital/data=!4m5!3m4!1s0x374d74ac45913473:0x28fb9ca126090bfa!8m2!3d23.270801!4d92.7746617?authuser=0&hl=en&rclk=1,23.270801,92.7746617,Mizoram,East
Sub center,Hospital,"Unnamed Road, Serte, Mizoram 796701, India",https://www.google.co.kr/maps/place/Sub+center/data=!4m5!3m4!1s0x374d6d762eef8743:0x59e1d21ab2d2c894!8m2!3d23.0836378!4d92.7006777?authuser=0&hl=en&rclk=1,23.0836378,92.7006777,Mizoram,East
Hospital,Hospital,"Vengchhak Rd, Thenzawl, Mizoram 796186, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x374d74c9be66adf1:0x3f8ef08ba5627d64!8m2!3d23.2883282!4d92.7716231?authuser=0&hl=en&rclk=1,23.2883282,92.7716231,Mizoram,East
Hospital,Hospital,"7429+MVG, Biate, Mizoram 796370, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x374cfda50d02debf:0xb50fe0e2e751bb63!8m2!3d23.2516851!4d93.1197021?authuser=0&hl=en&rclk=1,23.2516851,93.1197021,Mizoram,East
"Urban Hospital, Hlimen",Hospital,"Hlimen, Dam Veng, Aizawl, Mizoram, India","https://www.google.co.kr/maps/place/Urban+Hospital,+Hlimen/data=!4m5!3m4!1s0x374d95890e12ef55:0xe283361a9b7be66b!8m2!3d23.6862731!4d92.7191487?authuser=0&hl=en&rclk=1",23.6862731,92.7191487,Mizoram,East
ART Center,Medical Center,"Hospital Rd, Vengsang, Champhai, Mizoram 796321, India",https://www.google.co.kr/maps/place/ART+Center/data=!4m5!3m4!1s0x374c5ba56c40c151:0xf7dec70e2d4683ed!8m2!3d23.4803255!4d93.3097064?authuser=0&hl=en&rclk=1,23.4803255,93.3097064,Mizoram,East
HEALTH SUB CENTRE,Hospital,"Saichal, Mizoram 796310, India",https://www.google.co.kr/maps/place/HEALTH+SUB+CENTRE/data=!4m5!3m4!1s0x374db5cf6dbc6f37:0x553b6636d11b4f16!8m2!3d23.7189759!4d93.0680686?authuser=0&hl=en&rclk=1,23.7189759,93.0680686,Mizoram,East
Health Sub Center,Hospital,"Vengthar Rd, Sailam, Mizoram 796186, India",https://www.google.co.kr/maps/place/Health+Sub+Center/data=!4m5!3m4!1s0x374d750e2a1afdd9:0x1d3a0bab2f8120af!8m2!3d23.2944219!4d92.7684233?authuser=0&hl=en&rclk=1,23.2944219,92.7684233,Mizoram,East
Health Clinic,Hospital,"C88M+W84, Mualkawi, Mizoram 796321, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x374c5984d7e8ffcb:0x988491b314bf826!8m2!3d23.4172728!4d93.3333203?authuser=0&hl=en&rclk=1,23.4172728,93.3333203,Mizoram,East
Clinic Centre,Hospital,"Lamchhip - Chawilung Rd, Chawilung, Mizoram 796161, India",https://www.google.co.kr/maps/place/Clinic+Centre/data=!4m5!3m4!1s0x374da3da22a9e145:0x4f817c3e7262dabc!8m2!3d23.4575451!4d92.807961?authuser=0&hl=en&rclk=1,23.4575451,92.807961,Mizoram,East
Health sub centre,Hospital,"QJXW+MVM, Sihhmui, Mizoram 796009, India",https://www.google.co.kr/maps/place/Health+sub+centre/data=!4m5!3m4!1s0x374ded305bc59e5d:0x6587dcb0d7fc3b99!8m2!3d23.7992172!4d92.6471774?authuser=0&hl=en&rclk=1,23.7992172,92.6471774,Mizoram,East
Health Sub. Centre,Hospital,"Zote, Mizoram 796321, India",https://www.google.co.kr/maps/place/Health+Sub.+Centre/data=!4m5!3m4!1s0x374c5cf355eec5f3:0x9ea19a67f542a063!8m2!3d23.4952032!4d93.3593069?authuser=0&hl=en&rclk=1,23.4952032,93.3593069,Mizoram,East
"CHC,Thenzawl",Hospital,"Thenzawl Vengchhak, Vengthar Rd, Zote Veng, Thenzawl, Mizoram 796186, India","https://www.google.co.kr/maps/place/CHC,Thenzawl/data=!4m5!3m4!1s0x374d74c91f702df1:0xa235111675fdea64!8m2!3d23.2903743!4d92.7707353?authuser=0&hl=en&rclk=1",23.2903743,92.7707353,Mizoram,East
"Health Sub-Centre, Chalrang",Hospital,"Chalrang, Mizoram 796310, India","https://www.google.co.kr/maps/place/Health+Sub-Centre,+Chalrang/data=!4m5!3m4!1s0x374c5580632748f1:0xdbdd724688659d82!8m2!3d23.3843323!4d93.1485005?authuser=0&hl=en&rclk=1",23.3843323,93.1485005,Mizoram,East
